Nr_DAX,Name_Unternehmen,Name_AR-Chef,Name_AR2,Name_AR3,Name_AR4,Name_AR5,Name_AR6,Name_AR7,Name_AR8,Name_AR9,Name_AR10,Name_AR11,Name_AR12,Name_AR13,Name_AR14,Name_AR15,Name_AR16,Name_AR17,Name_AR18,Name_AR19,Name_AR20,Name_AR21,Name_AR22
1,ADIDAS,Igor Landau,Dieter Hauenstein,Dr. Frank Appel,Dr. Wolfgang Jäger,Hans Ruprecht,Heidi Thaler-Veh,Herbert Kauffmann,Ian Gallienne,Kathrin Menges,Katja Kraus,Kurt Wittmann,Nassef Sawiris,Roland Nosko,Sabine Bauer,Udo Müller,Willi Schwerdtle,
2,ALLIANZ,Michael Diekmann,Christine Bosse,Dr. Friedrich Eichiner,Gabriele Burkhardt-Berg,Godfrey Robert Hayward,Herbert Hainer,Jean-Jacques Cette,Jim Hagemann Snabe,Jürgen Lawrenz,Martina Grundler,Rolf Zimmermann,Sophie Boissard,
3,BASF,Dr. Jürgen Hambrecht,Alison J. Dame Carnwath DBE,Anke Schäferkordt,Denise Schellemans,Dr. Franz Fehrenbach,Francesco Grioli,Michael Diekmann,Michael Vassiliadis,Prof. Francois N. Diederich,Ralf-Gerd Bastian,Waldemar Helber,
4,BAYER,Werner Wenning,André van Broich,Coleen A. Goggins,Detlef Rennings,Dr. Norbert W. Bischofberger,Dr. Paul Achleitner,Dr. Simone Bagel-Trah,Dr. Thomas Elsner,Frank Löllgen,Heike Hausfeld,Johanna W. Faber (Hanneke),Michael Schmidt-Kießling,Oliver Zühlke,Petra Reinbold-Knape,Prof. Dr. Norbert Winkeljohann,Prof. Dr. Otmar D. Wiestler,Prof. Dr. Wolfgang Plischke,Reiner Hoffmann,Sabine Schaab,Thomas Ebeling,
5,BEIERSDORF,Prof. Dr. Reinhard Pöllath,Chow Hong,Dr. Dr. Christine Martel,Frank Ganschow,Martin Hansson,Matthias Locher,Michael Herz,Poul Weihrauch,Prof. Manuela Rousseau,Reiner Hansert,Thomas Nieber,Thorsten Irtz,
6,BMW ST,Dr. Norbert Reithofer,Brigitte Rödig,Christiane Benner,Dr. Dominique Mohabeer,Dr. Heinrich Hiesinger,Dr. Karl-Ludwig Kley,Dr. Robert W. Lane,Franz Markus Haniel,Horst Lischka,Jürgen Wechsler,Manfred Schoch,Prof. Dr. Reinhard Hüttl,Prof. Dr. Renate Köcher,Ralf Hattler,Simone Menne,Stefan Quandt,Stefan Schmid,Susanne Klatten,Werner Zierer,Willibald Löw,
7,COMMERZBANK,Dr. Stefan Schmittmann,Alexandra Krieger,Anja Mikus,Beate Mensch,Dr. Gertrude Tumpel-Gugerell,Dr. Markus Kerber,Dr. Rainer Hillebrand,Dr. Roger Müller,Dr. Tobias Guldimann,Dr. Victoria Ossadnik,Gunnar de Buhr,Hans-Hermann Altenschmidt,Heike Anscheit,Mark Roach,Nicholas R. Teller,Oliver Leiberich,Robin J. Stalker,Sabine U. Dietrich,Stefan Burghardt,Stefan Jennes,Uwe Tschäge
8,CONTINENTAL,Prof. Dr. Wolfgang Reitzle,Dirk Nordmann,Dr. Gunter Dunkel,Elke Volkmann,Erwin Wörle,Georg F. W. Schaeffler,Jörg Schönfelder,Kirsten Vörkel,Klaus Rosenfeld,Maria-Elisabeth Schaeffler-Thumann,Michael Iglhaut,Peter Hausmann,Prof. Dr. Klaus Mangold,Prof. Dr. Peter Gutzmer,Prof. Dr. Rolf Nonnenmacher,Prof. Siegfried Wolf,Sabine Neuß,Stefan Scholz,
9,COVESTRO AG O.N.,Dr. Richard Pott,Dr. Christine Bortenlänger,Dr. Thomas Fischer,Ferdinando Beccalli-Falco,Irena Küstner,Johannes Dietsch,Michael Mostert,Peter Hausmann,Petra Kronen,Prof. Dr. Rolf Nonnenmacher,Regine Stachelhaus,Sabine Wirtz,
10,DAIMLER,Dr. Manfred Bischoff,Bader M. Al Saad,Dr. Bernd Pischetsrieder,Dr. Clemens A.H. Börsig,Dr. Jürgen Hambrecht,Dr. Paul Achleitner,Dr. Sabine Zimmer,Elke Tönjes-Werner,Ergun Lümali,Josef Kaeser,Margaret A. Curry,Marie Wieck,Michael Bettag,Michael Brecht,Petraea Heynike,Roman Zitzelsberger,Sari Maritta Baldauf,Sibylle Wankel,
11,DT. BANK,Dr. Paul Achleitner,Bernd Rose,Dina Dublon,Frank Bsirske,Gabriele Platscher,Gerd Alexander Schütz,Gerhard Eschelbeck,Henriette Mark,Jan Duscheck,John A. Thain,Katherine Garrett-Cox,Martina Klee,Mayree Carroll Clark,Michele Trogni,Prof. Dr. Norbert Winkeljohann,Prof.Dr. Stefan Simon,Richard Meddings,Sabine Irrgang,Stefan Rudschäfski,Timo Heider,Wolfgang Böhr
12,DT. BÖRSE,Dr. Joachim Faber,Amy Yok Tak Yip,Barbara Lambert,Hans-Peter Gabe,Johannes Witt,Jutta Stuhlfauth,Karl-Heinz Floether,Marion Fornoff,Martin Jetter,Prof. Dr. Dr. Ann-Kristin Achleitner,Prof. Dr. Joachim Nagel,Richard Berliand,
13,DT. POST,Dr. Nikolaus von Bomhard,Andrea Kocsis,Dr. Günther Bräunig,Dr. Mario Daberkow,Dr. Stefan Schulte,Gabriele Gülzau,Ingrid Deltenre,Jörg von Dosky,Mario Jacubasch,Prof. Dr. Henning Kagermann,Prof. Dr. Katja Windt,Roland Oetker,Rolf Bauermeister,Simone Menne,Stefanie Weckesser,Stephan Teuscher,Thomas Held,Thomas Koczelnik,Ulrike Lennartz-Pipenbacher,Werner Gatzer,